EmplPosition_emplPositionId,EmplPosition_statusId,EmplPosition_partyId,EmplPosition_emplPositionTypeId,EmplPosition_salaryFlag,EmplPosition_exemptFlag,EmplPosition_fulltimeFlag,EmplPosition_temporaryFlag
MANAGER_FMD,EMPL_POS_ACTIVE,100,FRNTDESKMGR,Y,,,
MANAGER_TWSP,EMPL_POS_ACTIVE,100,TWNSHPMGR,Y,,,
MANAGER_SUPER,EMPL_POS_ACTIVE,100,TWNSHPSUPVR,Y,,,
MANAGER_ACCNTS,EMPL_POS_ACTIVE,100,ACCNTSOFFCR,Y,,,
CLERK_SENIOR,EMPL_POS_ACTIVE,100,SRACCNT,Y,,,
CLERK_JUNIOR,EMPL_POS_ACTIVE,100,JRACCNT,Y,,,
CLERK_OFFICE,EMPL_POS_ACTIVE,100,OFFCLERK,Y,,,
CLERK_COLLECTN,EMPL_POS_ACTIVE,100,COLLCLERK,Y,,,
CLERK_LIASON,EMPL_POS_ACTIVE,100,LIASONCLERK,Y,,,
